101,mouli,23,f,mouli@gmail.com,9791793738,cse,erode,95.0
102,Rahul,21,M,rahul@gmail.com,9876543210,CSE,Chennai,88.5
103,Priya,22,F,priya@gmail.com,9876543211,IT,Coimbatore,91.2
104,Arun,20,M,arun@gmail.com,9876543212,ECE,Salem,84.7
105,Divya,21,F,divya@gmail.com,9876543213,CSE,Madurai,93.8
106,Karthik,22,M,karthik@gmail.com,9876543214,EEE,Tiruppur,79.5
107,Nisha,20,F,nisha@gmail.com,9876543215,IT,Trichy,89.4
108,Vignesh,23,M,vignesh@gmail.com,9876543216,MECH,Erode,82.6
109,Keerthana,22,F,keerthana@gmail.com,9876543217,CSE,Chennai,96.3
110,Sanjay,21,M,sanjay@gmail.com,9876543218,CIVIL,Vellore,81.9
111,Anitha,20,F,anitha@gmail.com,9876543219,ECE,Namakkal,90.1
112,Suresh,22,M,suresh@gmail.com,9876543220,CSE,Karur,86.8
113,Lakshmi,21,F,lakshmi@gmail.com,9876543221,IT,Erode,94.2
114,Praveen,23,M,praveen@gmail.com,9876543222,EEE,Coimbatore,78.9
115,Harini,22,F,harini@gmail.com,9876543223,CSE,Salem,97.1
116,Ajith,20,M,ajith@gmail.com,9876543224,MECH,Dharmapuri,83.4
117,Swetha,21,F,swetha@gmail.com,9876543225,CSE,Tirunelveli,92.7
118,Bharath,22,M,bharath@gmail.com,9876543226,ECE,Erode,85.6
119,Pavithra,23,F,pavithra@gmail.com,9876543227,IT,Chennai,90.8
120,Ramesh,21,M,ramesh@gmail.com,9876543228,CSE,Madurai,87.3
